sender,Year_Quarter,senderID,senderFullName,SentVolume,SentValue,RecievedVolume,RecievedValue,ShareSentVolume,ShareSentValue,ShareRecievedVolume,ShareRecievedValue,TotalVolume,TotalValue
BOFMCA,2006Q2,"001",Bank of Montreal                        ,660573,9329432,660573,9329432,0,0,0,0,1321146,18658864
NOSCCA,2006Q2,"002","Bank of Nova Scotia, The                ",807315,7555650,807315,7555650,0,0,0,0,1614630,15111300
ROYCCA,2006Q2,"003",Royal Bank of Canada                    ,1048222,10542853,1048222,10542853,0,0,0,0,2096444,21085706
TDOMCA,2006Q2,"004","Toronto-Dominion Bank, The              ",965635,7998806,965635,7998806,0,0,0,0,1931270,15997612
BNDCCA,2006Q2,"006",Banque Nationale du Canada              ,358005,3185159,358005,3185159,0,0,0,0,716010,6370318
CIBCCA,2006Q2,"010",Canadian Imperial Bank of Commerce      ,449319,4451589,449319,4451589,0,0,0,0,898638,8903178
HKBCCA,2006Q2,"016",Hongkong Bank of Canada                 ,224884,2526320.5,224884,2526320.5,0,0,0,0,449768,5052641
BLCMCA,2006Q2,"039",Banque Laurentienne du Canada           ,18788,338898.5,18788,338898.5,0,0,0,0,37576,677797
ATBRCA,2006Q2,"219",Province of Alberta Treasury Branches   ,9185,231360,9185,231360,0,0,0,0,18370,462720
N,2006Q2,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2006Q2,"815",La Caisse centrale de Desj. du Québec   ,98769,597651,98769,597651,0,0,0,0,197538,1195302
CUCXCA,2006Q2,"869",Credit Union Central of Canada          ,10619,165447,10619,165447,0,0,0,0,21238,330894
BOFMCA,2006Q3,"001",Bank of Montreal                        ,645785,9210741.5,645785,9210741.5,0,0,0,0,1291570,18421483
NOSCCA,2006Q3,"002","Bank of Nova Scotia, The                ",777633,7416616,777633,7416616,0,0,0,0,1555266,14833232
ROYCCA,2006Q3,"003",Royal Bank of Canada                    ,955988,10409876,955988,10409876,0,0,0,0,1911976,20819752
TDOMCA,2006Q3,"004","Toronto-Dominion Bank, The              ",896527,7890181.5,896527,7890181.5,0,0,0,0,1793054,15780363
BNDCCA,2006Q3,"006",Banque Nationale du Canada              ,339695,2972175,339695,2972175,0,0,0,0,679390,5944350
CIBCCA,2006Q3,"010",Canadian Imperial Bank of Commerce      ,417069,4218801,417069,4218801,0,0,0,0,834138,8437602
HKBCCA,2006Q3,"016",Hongkong Bank of Canada                 ,219030,2476048.5,219030,2476048.5,0,0,0,0,438060,4952097
BLCMCA,2006Q3,"039",Banque Laurentienne du Canada           ,17989,339087.5,17989,339087.5,0,0,0,0,35978,678175
ATBRCA,2006Q3,"219",Province of Alberta Treasury Branches   ,8757,163095,8757,163095,0,0,0,0,17514,326190
N,2006Q3,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2006Q3,"815",La Caisse centrale de Desj. du Québec   ,82596,550412,82596,550412,0,0,0,0,165192,1100824
CUCXCA,2006Q3,"869",Credit Union Central of Canada          ,11443,159161,11443,159161,0,0,0,0,22886,318322
BOFMCA,2006Q4,"001",Bank of Montreal                        ,424359,6118154.5,424359,6118154.5,0,0,0,0,848718,12236309
NOSCCA,2006Q4,"002","Bank of Nova Scotia, The                ",532302,4990099.5,532302,4990099.5,0,0,0,0,1064604,9980199
ROYCCA,2006Q4,"003",Royal Bank of Canada                    ,650297,6874522,650297,6874522,0,0,0,0,1300594,13749044
TDOMCA,2006Q4,"004","Toronto-Dominion Bank, The              ",608719,5591617.5,608719,5591617.5,0,0,0,0,1217438,11183235
BNDCCA,2006Q4,"006",Banque Nationale du Canada              ,241684,2043548,241684,2043548,0,0,0,0,483368,4087096
CIBCCA,2006Q4,"010",Canadian Imperial Bank of Commerce      ,285275,2823137,285275,2823137,0,0,0,0,570550,5646274
HKBCCA,2006Q4,"016",Hongkong Bank of Canada                 ,145692,1730405,145692,1730405,0,0,0,0,291384,3460810
BLCMCA,2006Q4,"039",Banque Laurentienne du Canada           ,11423,181562,11423,181562,0,0,0,0,22846,363124
ATBRCA,2006Q4,"219",Province of Alberta Treasury Branches   ,6424,87689,6424,87689,0,0,0,0,12848,175378
N,2006Q4,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2006Q4,"815",La Caisse centrale de Desj. du Québec   ,59820,388923,59820,388923,0,0,0,0,119640,777846
CUCXCA,2006Q4,"869",Credit Union Central of Canada          ,8043,133562,8043,133562,0,0,0,0,16086,267124
BOFMCA,2007Q1,"001",Bank of Montreal                        ,646910,8686665,646910,8686665,0,0,0,0,1293820,17373330
NOSCCA,2007Q1,"002","Bank of Nova Scotia, The                ",817168,7324558.5,817168,7324558.5,0,0,0,0,1634336,14649117
ROYCCA,2007Q1,"003",Royal Bank of Canada                    ,994817,9983326,994817,9983326,0,0,0,0,1989634,19966652
TDOMCA,2007Q1,"004","Toronto-Dominion Bank, The              ",942453,7894223.5,942453,7894223.5,0,0,0,0,1884906,15788447
BNDCCA,2007Q1,"006",Banque Nationale du Canada              ,368162,2961964.5,368162,2961964.5,0,0,0,0,736324,5923929
CIBCCA,2007Q1,"010",Canadian Imperial Bank of Commerce      ,429569,4078582,429569,4078582,0,0,0,0,859138,8157164
HKBCCA,2007Q1,"016",Hongkong Bank of Canada                 ,222566,2496598,222566,2496598,0,0,0,0,445132,4993196
BLCMCA,2007Q1,"039",Banque Laurentienne du Canada           ,18136,247220,18136,247220,0,0,0,0,36272,494440
ATBRCA,2007Q1,"219",Province of Alberta Treasury Branches   ,9570,123802.5,9570,123802.5,0,0,0,0,19140,247605
N,2007Q1,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2007Q1,"815",La Caisse centrale de Desj. du Québec   ,84885,565713,84885,565713,0,0,0,0,169770,1131426
CUCXCA,2007Q1,"869",Credit Union Central of Canada          ,13908,207350.5,13908,207350.5,0,0,0,0,27816,414701
BOFMCA,2007Q2,"001",Bank of Montreal                        ,666646,9432246,666646,9432246,0,0,0,0,1333292,18864492
NOSCCA,2007Q2,"002","Bank of Nova Scotia, The                ",811333,7676100,811333,7676100,0,0,0,0,1622666,15352200
ROYCCA,2007Q2,"003",Royal Bank of Canada                    ,996034,10845887.5,996034,10845887.5,0,0,0,0,1992068,21691775
TDOMCA,2007Q2,"004","Toronto-Dominion Bank, The              ",924756,8351571,924756,8351571,0,0,0,0,1849512,16703142
BNDCCA,2007Q2,"006",Banque Nationale du Canada              ,366220,3104460.5,366220,3104460.5,0,0,0,0,732440,6208921
CIBCCA,2007Q2,"010",Canadian Imperial Bank of Commerce      ,428333,4398139.5,428333,4398139.5,0,0,0,0,856666,8796279
HKBCCA,2007Q2,"016",Hongkong Bank of Canada                 ,233486,2538836.5,233486,2538836.5,0,0,0,0,466972,5077673
BLCMCA,2007Q2,"039",Banque Laurentienne du Canada           ,17818,279125,17818,279125,0,0,0,0,35636,558250
ATBRCA,2007Q2,"219",Province of Alberta Treasury Branches   ,9255,113906.5,9255,113906.5,0,0,0,0,18510,227813
N,2007Q2,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2007Q2,"815",La Caisse centrale de Desj. du Québec   ,84686,631072,84686,631072,0,0,0,0,169372,1262144
CUCXCA,2007Q2,"869",Credit Union Central of Canada          ,14733,239207.5,14733,239207.5,0,0,0,0,29466,478415
BOFMCA,2007Q3,"001",Bank of Montreal                        ,646380,9531136,646380,9531136,0,0,0,0,1292760,19062272
NOSCCA,2007Q3,"002","Bank of Nova Scotia, The                ",784689,7550908,784689,7550908,0,0,0,0,1569378,15101816
ROYCCA,2007Q3,"003",Royal Bank of Canada                    ,1456413,10708850,1456413,10708850,0,0,0,0,2912826,21417700
TDOMCA,2007Q3,"004","Toronto-Dominion Bank, The              ",893156,8169065,893156,8169065,0,0,0,0,1786312,16338130
BNDCCA,2007Q3,"006",Banque Nationale du Canada              ,342764,3067089.5,342764,3067089.5,0,0,0,0,685528,6134179
CIBCCA,2007Q3,"010",Canadian Imperial Bank of Commerce      ,933969,4305393,933969,4305393,0,0,0,0,1867938,8610786
HKBCCA,2007Q3,"016",Hongkong Bank of Canada                 ,231721,2615581.5,231721,2615581.5,0,0,0,0,463442,5231163
BLCMCA,2007Q3,"039",Banque Laurentienne du Canada           ,16202,263586,16202,263586,0,0,0,0,32404,527172
ATBRCA,2007Q3,"219",Province of Alberta Treasury Branches   ,8646,101833.5,8646,101833.5,0,0,0,0,17292,203667
N,2007Q3,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2007Q3,"815",La Caisse centrale de Desj. du Québec   ,77655,641354.5,77655,641354.5,0,0,0,0,155310,1282709
CUCXCA,2007Q3,"869",Credit Union Central of Canada          ,15751,236147,15751,236147,0,0,0,0,31502,472294
BOFMCA,2007Q4,"001",Bank of Montreal                        ,236448,3511284,236448,3511284,0,0,0,0,472896,7022568
NOSCCA,2007Q4,"002","Bank of Nova Scotia, The                ",289808,2794384,289808,2794384,0,0,0,0,579616,5588768
ROYCCA,2007Q4,"003",Royal Bank of Canada                    ,344748,3984768,344748,3984768,0,0,0,0,689496,7969536
TDOMCA,2007Q4,"004","Toronto-Dominion Bank, The              ",330763,2992822,330763,2992822,0,0,0,0,661526,5985644
BNDCCA,2007Q4,"006",Banque Nationale du Canada              ,125585,1130694,125585,1130694,0,0,0,0,251170,2261388
CIBCCA,2007Q4,"010",Canadian Imperial Bank of Commerce      ,150572,1641847,150572,1641847,0,0,0,0,301144,3283694
HKBCCA,2007Q4,"016",Hongkong Bank of Canada                 ,85086,977476.5,85086,977476.5,0,0,0,0,170172,1954953
BLCMCA,2007Q4,"039",Banque Laurentienne du Canada           ,6097,113637,6097,113637,0,0,0,0,12194,227274
ATBRCA,2007Q4,"219",Province of Alberta Treasury Branches   ,3394,34549.5,3394,34549.5,0,0,0,0,6788,69099
N,2007Q4,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2007Q4,"815",La Caisse centrale de Desj. du Québec   ,29149,239414.5,29149,239414.5,0,0,0,0,58298,478829
CUCXCA,2007Q4,"869",Credit Union Central of Canada          ,5958,110996,5958,110996,0,0,0,0,11916,221992
BOFMCA,2008Q1,"001",Bank of Montreal                        ,635944,9736534.5,635944,9736534.5,0,0,0,0,1271888,19473069
NOSCCA,2008Q1,"002","Bank of Nova Scotia, The                ",799326,7483516.5,799326,7483516.5,0,0,0,0,1598652,14967033
ROYCCA,2008Q1,"003",Royal Bank of Canada                    ,949325,11571992.5,949325,11571992.5,0,0,0,0,1898650,23143985
TDOMCA,2008Q1,"004","Toronto-Dominion Bank, The              ",914204,8735201.5,914204,8735201.5,0,0,0,0,1828408,17470403
BNDCCA,2008Q1,"006",Banque Nationale du Canada              ,342593,3094651,342593,3094651,0,0,0,0,685186,6189302
CIBCCA,2008Q1,"010",Canadian Imperial Bank of Commerce      ,401582,4662045.5,401582,4662045.5,0,0,0,0,803164,9324091
HKBCCA,2008Q1,"016",Hongkong Bank of Canada                 ,232796,2744697.5,232796,2744697.5,0,0,0,0,465592,5489395
BLCMCA,2008Q1,"039",Banque Laurentienne du Canada           ,16755,272663.5,16755,272663.5,0,0,0,0,33510,545327
ATBRCA,2008Q1,"219",Province of Alberta Treasury Branches   ,8827,88266.5,8827,88266.5,0,0,0,0,17654,176533
N,2008Q1,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2008Q1,"815",La Caisse centrale de Desj. du Québec   ,82443,672682,82443,672682,0,0,0,0,164886,1345364
CUCXCA,2008Q1,"869",Credit Union Central of Canada          ,17741,424046.5,17741,424046.5,0,0,0,0,35482,848093
BOFMCA,2008Q2,"001",Bank of Montreal                        ,657558,10969837.5,657558,10969837.5,0,0,0,0,1315116,21939675
NOSCCA,2008Q2,"002","Bank of Nova Scotia, The                ",821641,8402364.5,821641,8402364.5,0,0,0,0,1643282,16804729
ROYCCA,2008Q2,"003",Royal Bank of Canada                    ,970423,12457996.5,970423,12457996.5,0,0,0,0,1940846,24915993
TDOMCA,2008Q2,"004","Toronto-Dominion Bank, The              ",922247,9577530,922247,9577530,0,0,0,0,1844494,19155060
BNDCCA,2008Q2,"006",Banque Nationale du Canada              ,349854,3420859.5,349854,3420859.5,0,0,0,0,699708,6841719
CIBCCA,2008Q2,"010",Canadian Imperial Bank of Commerce      ,385154,4341813,385154,4341813,0,0,0,0,770308,8683626
HKBCCA,2008Q2,"016",Hongkong Bank of Canada                 ,244261,3305984,244261,3305984,0,0,0,0,488522,6611968
BLCMCA,2008Q2,"039",Banque Laurentienne du Canada           ,17627,305206,17627,305206,0,0,0,0,35254,610412
ATBRCA,2008Q2,"219",Province of Alberta Treasury Branches   ,8709,91623.5,8709,91623.5,0,0,0,0,17418,183247
N,2008Q2,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2008Q2,"815",La Caisse centrale de Desj. du Québec   ,84680,737896,84680,737896,0,0,0,0,169360,1475792
CUCXCA,2008Q2,"869",Credit Union Central of Canada          ,21560,373578.5,21560,373578.5,0,0,0,0,43120,747157
BOFMCA,2008Q3,"001",Bank of Montreal                        ,616295,10651766.5,616295,10651766.5,0,0,0,0,1232590,21303533
NOSCCA,2008Q3,"002","Bank of Nova Scotia, The                ",775364,8226817.5,775364,8226817.5,0,0,0,0,1550728,16453635
ROYCCA,2008Q3,"003",Royal Bank of Canada                    ,925848,12295553.5,925848,12295553.5,0,0,0,0,1851696,24591107
TDOMCA,2008Q3,"004","Toronto-Dominion Bank, The              ",864183,9446623,864183,9446623,0,0,0,0,1728366,18893246
BNDCCA,2008Q3,"006",Banque Nationale du Canada              ,307624,3199782,307624,3199782,0,0,0,0,615248,6399564
CIBCCA,2008Q3,"010",Canadian Imperial Bank of Commerce      ,380727,4765865.5,380727,4765865.5,0,0,0,0,761454,9531731
HKBCCA,2008Q3,"016",Hongkong Bank of Canada                 ,232740,3629505.5,232740,3629505.5,0,0,0,0,465480,7259011
BLCMCA,2008Q3,"039",Banque Laurentienne du Canada           ,17124,406413.5,17124,406413.5,0,0,0,0,34248,812827
ATBRCA,2008Q3,"219",Province of Alberta Treasury Branches   ,8134,95053.5,8134,95053.5,0,0,0,0,16268,190107
N,2008Q3,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2008Q3,"815",La Caisse centrale de Desj. du Québec   ,77413,684879.5,77413,684879.5,0,0,0,0,154826,1369759
CUCXCA,2008Q3,"869",Credit Union Central of Canada          ,19122,394283.5,19122,394283.5,0,0,0,0,38244,788567
BOFMCA,2008Q4,"001",Bank of Montreal                        ,609772,9958508.5,609772,9958508.5,0,0,0,0,1219544,19917017
NOSCCA,2008Q4,"002","Bank of Nova Scotia, The                ",763568,7664648,763568,7664648,0,0,0,0,1527136,15329296
ROYCCA,2008Q4,"003",Royal Bank of Canada                    ,962493,11616124,962493,11616124,0,0,0,0,1924986,23232248
TDOMCA,2008Q4,"004","Toronto-Dominion Bank, The              ",874310,9059230,874310,9059230,0,0,0,0,1748620,18118460
BNDCCA,2008Q4,"006",Banque Nationale du Canada              ,321856,3219003.5,321856,3219003.5,0,0,0,0,643712,6438007
CIBCCA,2008Q4,"010",Canadian Imperial Bank of Commerce      ,394900,4517460.5,394900,4517460.5,0,0,0,0,789800,9034921
HKBCCA,2008Q4,"016",Hongkong Bank of Canada                 ,228870,3531709,228870,3531709,0,0,0,0,457740,7063418
BLCMCA,2008Q4,"039",Banque Laurentienne du Canada           ,17582,446395.5,17582,446395.5,0,0,0,0,35164,892791
ATBRCA,2008Q4,"219",Province of Alberta Treasury Branches   ,8095,81534.5,8095,81534.5,0,0,0,0,16190,163069
N,2008Q4,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2008Q4,"815",La Caisse centrale de Desj. du Québec   ,81367,655025,81367,655025,0,0,0,0,162734,1310050
CUCXCA,2008Q4,"869",Credit Union Central of Canada          ,70119,611117,70119,611117,0,0,0,0,140238,1222234
BOFMCA,2009Q1,"001",Bank of Montreal                        ,578496,7950210.5,578496,7950210.5,0,0,0,0,1156992,15900421
NOSCCA,2009Q1,"002","Bank of Nova Scotia, The                ",689834,5604027.5,689834,5604027.5,0,0,0,0,1379668,11208055
ROYCCA,2009Q1,"003",Royal Bank of Canada                    ,915812,8928034.5,915812,8928034.5,0,0,0,0,1831624,17856069
TDOMCA,2009Q1,"004","Toronto-Dominion Bank, The              ",839971,6437850.5,839971,6437850.5,0,0,0,0,1679942,12875701
BNDCCA,2009Q1,"006",Banque Nationale du Canada              ,305412,2460422.5,305412,2460422.5,0,0,0,0,610824,4920845
CIBCCA,2009Q1,"010",Canadian Imperial Bank of Commerce      ,363935,3610746.5,363935,3610746.5,0,0,0,0,727870,7221493
HKBCCA,2009Q1,"016",Hongkong Bank of Canada                 ,214546,2690160,214546,2690160,0,0,0,0,429092,5380320
BLCMCA,2009Q1,"039",Banque Laurentienne du Canada           ,16866,535918,16866,535918,0,0,0,0,33732,1071836
ATBRCA,2009Q1,"219",Province of Alberta Treasury Branches   ,7892,71888,7892,71888,0,0,0,0,15784,143776
N,2009Q1,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2009Q1,"815",La Caisse centrale de Desj. du Québec   ,78188,572910,78188,572910,0,0,0,0,156376,1145820
CUCXCA,2009Q1,"869",Credit Union Central of Canada          ,120126,632671.5,120126,632671.5,0,0,0,0,240252,1265343
BOFMCA,2009Q2,"001",Bank of Montreal                        ,624374,8047094,624374,8047094,0,0,0,0,1248748,16094188
NOSCCA,2009Q2,"002","Bank of Nova Scotia, The                ",693415,5368933,693415,5368933,0,0,0,0,1386830,10737866
ROYCCA,2009Q2,"003",Royal Bank of Canada                    ,906223,8608052.5,906223,8608052.5,0,0,0,0,1812446,17216105
TDOMCA,2009Q2,"004","Toronto-Dominion Bank, The              ",819200,6434471.5,819200,6434471.5,0,0,0,0,1638400,12868943
BNDCCA,2009Q2,"006",Banque Nationale du Canada              ,308366,2409373,308366,2409373,0,0,0,0,616732,4818746
CIBCCA,2009Q2,"010",Canadian Imperial Bank of Commerce      ,358624,3260315,358624,3260315,0,0,0,0,717248,6520630
HKBCCA,2009Q2,"016",Hongkong Bank of Canada                 ,220273,2777883.5,220273,2777883.5,0,0,0,0,440546,5555767
BLCMCA,2009Q2,"039",Banque Laurentienne du Canada           ,17790,657197.5,17790,657197.5,0,0,0,0,35580,1314395
ATBRCA,2009Q2,"219",Province of Alberta Treasury Branches   ,7315,51655.5,7315,51655.5,0,0,0,0,14630,103311
N,2009Q2,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2009Q2,"815",La Caisse centrale de Desj. du Québec   ,77353,578060.5,77353,578060.5,0,0,0,0,154706,1156121
CUCXCA,2009Q2,"869",Credit Union Central of Canada          ,113095,611464.5,113095,611464.5,0,0,0,0,226190,1222929
BOFMCA,2009Q3,"001",Bank of Montreal                        ,626239,8273880.5,626239,8273880.5,0,0,0,0,1252478,16547761
NOSCCA,2009Q3,"002","Bank of Nova Scotia, The                ",686960,5533244,686960,5533244,0,0,0,0,1373920,11066488
ROYCCA,2009Q3,"003",Royal Bank of Canada                    ,885322,8839988,885322,8839988,0,0,0,0,1770644,17679976
TDOMCA,2009Q3,"004","Toronto-Dominion Bank, The              ",804087,6443036.5,804087,6443036.5,0,0,0,0,1608174,12886073
BNDCCA,2009Q3,"006",Banque Nationale du Canada              ,298065,2482813,298065,2482813,0,0,0,0,596130,4965626
CIBCCA,2009Q3,"010",Canadian Imperial Bank of Commerce      ,353436,3562173,353436,3562173,0,0,0,0,706872,7124346
HKBCCA,2009Q3,"016",Hongkong Bank of Canada                 ,216997,2890132,216997,2890132,0,0,0,0,433994,5780264
BLCMCA,2009Q3,"039",Banque Laurentienne du Canada           ,15631,815870,15631,815870,0,0,0,0,31262,1631740
ATBRCA,2009Q3,"219",Province of Alberta Treasury Branches   ,7071,54896,7071,54896,0,0,0,0,14142,109792
N,2009Q3,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2009Q3,"815",La Caisse centrale de Desj. du Québec   ,75781,581164,75781,581164,0,0,0,0,151562,1162328
CUCXCA,2009Q3,"869",Credit Union Central of Canada          ,113801,617343.5,113801,617343.5,0,0,0,0,227602,1234687
BOFMCA,2009Q4,"001",Bank of Montreal                        ,652739,8933663.5,652739,8933663.5,0,0,0,0,1305478,17867327
NOSCCA,2009Q4,"002","Bank of Nova Scotia, The                ",745689,5938070,745689,5938070,0,0,0,0,1491378,11876140
ROYCCA,2009Q4,"003",Royal Bank of Canada                    ,923766,9421307,923766,9421307,0,0,0,0,1847532,18842614
TDOMCA,2009Q4,"004","Toronto-Dominion Bank, The              ",856321,7089547.5,856321,7089547.5,0,0,0,0,1712642,14179095
BNDCCA,2009Q4,"006",Banque Nationale du Canada              ,320100,2720933,320100,2720933,0,0,0,0,640200,5441866
CIBCCA,2009Q4,"010",Canadian Imperial Bank of Commerce      ,382264,3878183.5,382264,3878183.5,0,0,0,0,764528,7756367
HKBCCA,2009Q4,"016",Hongkong Bank of Canada                 ,220061,3175114.5,220061,3175114.5,0,0,0,0,440122,6350229
BLCMCA,2009Q4,"039",Banque Laurentienne du Canada           ,15615,371968,15615,371968,0,0,0,0,31230,743936
ATBRCA,2009Q4,"219",Province of Alberta Treasury Branches   ,7269,57048,7269,57048,0,0,0,0,14538,114096
N,2009Q4,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2009Q4,"815",La Caisse centrale de Desj. du Québec   ,83256,647420.5,83256,647420.5,0,0,0,0,166512,1294841
CUCXCA,2009Q4,"869",Credit Union Central of Canada          ,122720,627175.5,122720,627175.5,0,0,0,0,245440,1254351
BOFMCA,2010Q1,"001",Bank of Montreal                        ,641611,8736242.5,641611,8736242.5,0,0,0,0,1283222,17472485
NOSCCA,2010Q1,"002","Bank of Nova Scotia, The                ",716880,5849324,716880,5849324,0,0,0,0,1433760,11698648
ROYCCA,2010Q1,"003",Royal Bank of Canada                    ,929312,9094562.5,929312,9094562.5,0,0,0,0,1858624,18189125
TDOMCA,2010Q1,"004","Toronto-Dominion Bank, The              ",859625,6715124,859625,6715124,0,0,0,0,1719250,13430248
BNDCCA,2010Q1,"006",Banque Nationale du Canada              ,314162,2735395.5,314162,2735395.5,0,0,0,0,628324,5470791
CIBCCA,2010Q1,"010",Canadian Imperial Bank of Commerce      ,378050,3843213.5,378050,3843213.5,0,0,0,0,756100,7686427
HKBCCA,2010Q1,"016",Hongkong Bank of Canada                 ,215593,3251083,215593,3251083,0,0,0,0,431186,6502166
BLCMCA,2010Q1,"039",Banque Laurentienne du Canada           ,14776,186195,14776,186195,0,0,0,0,29552,372390
ATBRCA,2010Q1,"219",Province of Alberta Treasury Branches   ,7107,55648.5,7107,55648.5,0,0,0,0,14214,111297
N,2010Q1,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2010Q1,"815",La Caisse centrale de Desj. du Québec   ,80313,621290,80313,621290,0,0,0,0,160626,1242580
CUCXCA,2010Q1,"869",Credit Union Central of Canada          ,124453,652447,124453,652447,0,0,0,0,248906,1304894
BOFMCA,2010Q2,"001",Bank of Montreal                        ,659548,9445289,659548,9445289,0,0,0,0,1319096,18890578
NOSCCA,2010Q2,"002","Bank of Nova Scotia, The                ",743524,6509181.5,743524,6509181.5,0,0,0,0,1487048,13018363
ROYCCA,2010Q2,"003",Royal Bank of Canada                    ,935345,10029959,935345,10029959,0,0,0,0,1870690,20059918
TDOMCA,2010Q2,"004","Toronto-Dominion Bank, The              ",863831,7543751,863831,7543751,0,0,0,0,1727662,15087502
BNDCCA,2010Q2,"006",Banque Nationale du Canada              ,322580,2919718,322580,2919718,0,0,0,0,645160,5839436
CIBCCA,2010Q2,"010",Canadian Imperial Bank of Commerce      ,368096,4004586.5,368096,4004586.5,0,0,0,0,736192,8009173
HKBCCA,2010Q2,"016",Hongkong Bank of Canada                 ,226888,3547690.5,226888,3547690.5,0,0,0,0,453776,7095381
BLCMCA,2010Q2,"039",Banque Laurentienne du Canada           ,15478,217654.5,15478,217654.5,0,0,0,0,30956,435309
ATBRCA,2010Q2,"219",Province of Alberta Treasury Branches   ,6957,59680.5,6957,59680.5,0,0,0,0,13914,119361
N,2010Q2,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2010Q2,"815",La Caisse centrale de Desj. du Québec   ,83521,670590.5,83521,670590.5,0,0,0,0,167042,1341181
CUCXCA,2010Q2,"869",Credit Union Central of Canada          ,122036,713442,122036,713442,0,0,0,0,244072,1426884
BOFMCA,2010Q3,"001",Bank of Montreal                        ,642079,8604809.5,642079,8604809.5,0,0,0,0,1284158,17209619
NOSCCA,2010Q3,"002","Bank of Nova Scotia, The                ",740019,6675401,740019,6675401,0,0,0,0,1480038,13350802
ROYCCA,2010Q3,"003",Royal Bank of Canada                    ,916417,10226764.5,916417,10226764.5,0,0,0,0,1832834,20453529
TDOMCA,2010Q3,"004","Toronto-Dominion Bank, The              ",827072,7843276,827072,7843276,0,0,0,0,1654144,15686552
BNDCCA,2010Q3,"006",Banque Nationale du Canada              ,309009,2838643,309009,2838643,0,0,0,0,618018,5677286
CIBCCA,2010Q3,"010",Canadian Imperial Bank of Commerce      ,358575,4128457,358575,4128457,0,0,0,0,717150,8256914
HKBCCA,2010Q3,"016",Hongkong Bank of Canada                 ,225641,2881413.5,225641,2881413.5,0,0,0,0,451282,5762827
BLCMCA,2010Q3,"039",Banque Laurentienne du Canada           ,14917,288300.5,14917,288300.5,0,0,0,0,29834,576601
ATBRCA,2010Q3,"219",Province of Alberta Treasury Branches   ,7349,76245,7349,76245,0,0,0,0,14698,152490
N,2010Q3,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2010Q3,"815",La Caisse centrale de Desj. du Québec   ,149430,652735.5,149430,652735.5,0,0,0,0,298860,1305471
CUCXCA,2010Q3,"869",Credit Union Central of Canada          ,117422,771814.5,117422,771814.5,0,0,0,0,234844,1543629
BOFMCA,2010Q4,"001",Bank of Montreal                        ,670619,9543851,670619,9543851,0,0,0,0,1341238,19087702
NOSCCA,2010Q4,"002","Bank of Nova Scotia, The                ",766005,7134641,766005,7134641,0,0,0,0,1532010,14269282
ROYCCA,2010Q4,"003",Royal Bank of Canada                    ,964190,11634249.5,964190,11634249.5,0,0,0,0,1928380,23268499
TDOMCA,2010Q4,"004","Toronto-Dominion Bank, The              ",863679,8600664,863679,8600664,0,0,0,0,1727358,17201328
BNDCCA,2010Q4,"006",Banque Nationale du Canada              ,314843,3100286.5,314843,3100286.5,0,0,0,0,629686,6200573
CIBCCA,2010Q4,"010",Canadian Imperial Bank of Commerce      ,380307,4850918.5,380307,4850918.5,0,0,0,0,760614,9701837
HKBCCA,2010Q4,"016",Hongkong Bank of Canada                 ,226976,3126630,226976,3126630,0,0,0,0,453952,6253260
BLCMCA,2010Q4,"039",Banque Laurentienne du Canada           ,15478,360017.5,15478,360017.5,0,0,0,0,30956,720035
ATBRCA,2010Q4,"219",Province of Alberta Treasury Branches   ,7225,86855.5,7225,86855.5,0,0,0,0,14450,173711
N,2010Q4,"509",Canada Trustco Mortgage Company         ,0,0,0,0,0,0,0,0,0,0
CCDQCA,2010Q4,"815",La Caisse centrale de Desj. du Québec   ,162217,719800,162217,719800,0,0,0,0,324434,1439600
